name,firstName,country,title,studio,duration,year,category,genre,award,addon,
LEWIS,Andrew,Gde Bretagne,Storm song (pour piano et bande),,0:14:25,1988,Mixte,,M,,
PARMERUD,Ake,Suède,Yan (for percussion et bande),,0:14:55,1988,Mixte,,1,,
TAKENAKA,Yasuhiro,Japon,Memory of the universe (pour percussions et bande),,0:16:50,1988,Mixte,,M,,
DESJARDIN,André-Luc,Canada,Là où mène le monde,,0:17:50,1988,Mixte,,M,,
AIKMAN,James,USA,Tragoida/Komoidia,,0:09:05,1988,Programme,,1,,
TRANQUILLINO,Armando,USA,Tragoida / Komoidia,,0:09:05,1988,Programme,,1,,
KLEIN,Judy,USA,From the journals of Felix Bosonnet,,0:09:15,1988,Programme,,M,,
LAKOMY,Reinhard,Allemagne,Morgen kommt der weihnachtsmann (le père noël vient demain),,0:09:48,1988,Programme,,M,,
MOORE,Adrian,Gde Bretagne,Credo Epochula,,0:10:30,1988,Programme,,M,,
VOIGTLAENDER,Lothar,Allemagne,Berlin report,,0:10:50,1988,Programme,,M,,
MANDOLINI,Ricardo,Argentine,Microrreflexiones,,0:18:14,1988,Programme,,2,,
NORMANDEAU,Robert,Canada,La chambre blanche,,0:24:12,1988,Programme,,M,,
POETTE,Jean-Christophe,France,La cinquième saison,,0:08:00,1988,Résidence,,R,,
BILLAUDEAU,Bruno,France,Cage d'escalier,,0:08:07,1988,Résidence,,R,,
RUDOLF,Robert,Tchéquie,Something to say (pour trompette et bande),,0:08:16,1988,Résidence,,R,,
FREEDMAN,Elliot,Canada,The Griffith Observer,,0:08:24,1988,Résidence,,R,,
LEE,Brent,Canada,Deliberate disguises,,0:12:40,1988,Résidence,,R,,
STRATOUDAKIS,Constantin,Grèce,Ultimate effort,,0:13:00,1988,Résidence,,R,,
D'ESCRIVAN,Julio,Venezuela,Salto Mortal,,0:08:04,1989,Électroacoustique,,2,EA,
PINTER,Gyula,Hongrie,Shrinking times,,0:09:28,1989,Électroacoustique,,M,,
LEWIS,Andrew,Gde Bretagne,Arrivals,,0:11:50,1989,Électroacoustique,,2,EA,
DE LAUBIER,Serge,France,Sonnerie de l'arc de cercle,,0:15:00,1989,Électroacoustique,,M,,
BILLAUDEAU,Bruno,France,Suite animalière,,0:15:47,1989,Électroacoustique,,M,,
RAI,Takayuki,Japon,4 inventions (for piano and signal processing computer DMX 1010),,0:15:21,1989,Live,,2,,
GAIGNE,Pascal,France,Traversées,,0:16:00,1989,Live,,M,,
AGAM,Orram,France,Spermanence,,0:16:30,1989,Live,,M,,
KROPFL,Francisco,Argentine,Orillas,,0:10:10,1989,Magistère,,MA,,
KUPPER,Léo,Belgique,Litanéa,,0:18:07,1989,Magistère,,MA,,
BIANCHI,Frederick,USA,For string quartet and tape,,0:09:30,1989,Mixte,,M,,
ALVAREZ,Javier,Mexique,Acuerdor pro differencia (pour harpe et bane),,0:11:11,1989,Mixte,,M,,
GOBEIL,Gilles,Canada,Voix Blanche (pour ondes Martenot et bande),,0:12:56,1989,Mixte,,2,,
KARPEN,Richard,USA,Il Nome (pour soprano et bande),,0:14:28,1989,Mixte,,1,,
MARTINEZ FIGUEROLA,Alejandro,Espagne,"Cancion I, de otono",,0:11:15,1989,Programme,,M,,
MAC DONALD,Alistaire,Gde Bretagne,Busk,,0:14:51,1989,Programme,,2,,
VIRGO,Nicholas,Gde Bretagne,Busk,,0:14:51,1989,Programme,,2,,
CALON,Christian,Canada,minuit,,0:20:53,1989,Programme,,1,,
BRANT,Emily,USA,Tuneless circles,,0:09:25,1989,Résidence,,R,,
JUSTEL,Elsa,Argentine,Ichihualasto ou la vallée de la lune (étude de stage),,0:09:35,1989,Résidence,,R,,
IOANNIDIS,Lazaros,Canada,Flower of age : the graduation of discobole the lesser,,0:10:21,1989,Résidence,,R,,
FREEDMAN,Elliot,Canada,Through windows of vulnerability,,0:11:08,1989,Résidence,,R,,
PHILIPPI,Ronald,Belgique,Konstruktie Iv,,0:12:00,1989,Résidence,,R,,
BLACKFORD,Phillip,USA,Gyuto : resonances of the divine,,0:24:00,1989,Résidence,,R,,
LOPEZ LOPEZ,José Manuel,Espagne,Quête,,0:07:48,1990,Électroacoustique,,M,,
CAESAR,Rodolfo,Brésil,Introducao a pedra,,0:08:50,1990,Électroacoustique,,M,,
ARZOUMAN,David,USA,Onze,,0:10:01,1990,Électroacoustique,,M,,
SAITTA,Carmelo,Argentine,La maga o el angel de la noche,,0:10:20,1990,Électroacoustique,,2,,
SBACCO,Franco,Italie,Spessori e densita variabili…,,0:12:10,1990,Électroacoustique,,M,,
DOLDEN,Paul,Canada,Below the walls of Jericho,,0:14:33,1990,Électroacoustique,,1,,
DAL FARRA,Ricardo,Argentine,Egt,,0:09:25,1990,Live,,M,,
ROWE,Robert,USA,"Flood gate (pour violon, piano et ordinateur interactif)",,0:10:45,1990,Live,,1,,
BILLAUDEAU,Bruno,France,Piqure d'insecte (pour saxophone et bande),,0:11:48,1990,Live,,M,,
UDUMAN,Sohrab,Gde Bretagne,Refrains (pour trombone et bande),,00:08:59,1990,Mixte,,M,,
JONES,David Evan,USA,Still lif ein wookd & metal,,0:09:20,1990,Mixte,,M,,
OLESZKOWICZ,Jan,Pologne,Scontra (pour violon et bande),,0:12:10,1990,Mixte,,M,,
KLEINSASSER,William,USA,"Reflective image (for oboe, soprano saxophone and 2 channel tape)",,0:12:30,1990,Mixte,,M,,
WHITE,Frances,USA,Still life with piano,,0:15:30,1990,Mixte,,2,EA,
JOHNSEN,Kjell,Norvège,Mura-Iki (pour flûte et bande),,"0,014722",1990,Mixte,,2,EA,
VALVERDE,Gabriel,Argentine,Cumulos,,0:10:10,1990,Programme,,2,,
KARSKY,Michel,France,Les douze (1ère partie),,0:15:55,1990,Programme,,M,,
WHITE,Frances,USA,Valdrada,,0:16:40,1990,Programme,,1,,
HAMADACHE,Kamal,France,Peine à la peine n'ajoute pas,,0:06:38,1990,Résidence,,R,,
PENROSE,Christopher,USA,lesion' or lesion,,0:09:20,1990,Résidence,,R,,
RHYS,Paul,Gde Bretagne,Ebb and flow,,0:11:00,1990,Résidence,,R,,
TREMBLAY,Marc,Canada,L'argent .. Toujours l'argent !,,0:11:21,1990,Résidence,,R,,
CSONT,Istvan,Hongrie,Awaking (the first awakingthe second water),,0:15:10,1990,Résidence,,R,,
CAMPS,Jean-Christophe,France,Carnet de voyage,,"1,559722",1990,Résidence,,R,,
BAHN,Curtis,USA,Vocable vamp,,0:08:45,1991,Électroacoustique,,M,,
GARZON,Eleazar,Argentine,Espejo Humeante II,,0:08:50,1991,Électroacoustique,,M,,
RODRIGUE,Mario,Canada,Cristaux liquides,,0:09:15,1991,Électroacoustique,,M,,
ARZOUMAN,David,USA,Précipitation,,0:10:25,1991,Électroacoustique,,2,EA,
CAESAR,Rodolfo,Brésil,Canto,,0:13:40,1991,Électroacoustique,,M,,
LEWIS,Andrew,Gde Bretagne,Time and fire,,0:13:50,1991,Électroacoustique,,2,EA,
PARMERUD,Ake,Suède,Alias,,00:14:00,1991,Électroacoustique,,1,,
JENTZCH,Wilfried,Allemagne,PI mi A di NO (pour piano et bande),,0:11:57,1991,Live,,M,,
TRUAX,Barry,Canada,Riverrun (for four computer- synthesized soundtracks),,0:18:50,1991,Magistère,,MA,,
PARMEGIANI,Bernard,France,Exercisme 3,,0:23:56,1991,Magistère,,MA,,
DI SCIPIO,Agostino,Italie,"Event (pour flûte basse, clarinette basse et ordinateur)",,0:10:20,1991,Mixte,,M,,
DE MAN,Roderik,Pays-Bas,Chordis Canam (pour clavecin et bande),,0:10:24,1991,Mixte,,2,EA,
VAUGHAN,Michael,Gde Bretagne,Ensphered (pour saxophone soprano et bande),,0:11:20,1991,Mixte,,2,EA,
LIPPE,Cort,USA,Music for harp and tape,,0:16:00,1991,Mixte,,1,,
GRATZER,Carlos,Argentine,Failles fluorescentes (pour saxophone et bande),,0:16:38,1991,Mixte,,M,,
TAKENAKA,Yasuhiro,Japon,The memory of Hiroshima - war and prayer-,,0:14:50,1991,Programme,,M,,
DOYLE,Roger,Irlande,The room of rhetoric,,0:17:55,1991,Programme,,M,,
WARREN,Alicyn,USA,Longing for the light,,0:20:00,1991,Programme,,2,,
ROY,Stéphane,Canada,Janvier - quête de chaleurs,,0:20:34,1991,Programme,,M,,
OLSSON,Justice,France,Up !,,0:23:07,1991,Programme,,1,,
DI LISCIA,Oscar Pablo,Argentine,Dialogo con mi anciano ( pourguitare et bande),,0:06:00,1991,Résidence,,R,,
MALLIA,John Philip,USA,Diffraction (pour flûte et bande),,0:07:20,1991,Résidence,,R,,
GIRAUDON,François,France,Passages,,0:11:00,1991,Résidence,,R,,
MOORE,Adrian,Gde Bretagne,Prelude to Autonomy (pour violon et bande),,0:12:50,1991,Résidence,,R,,
POTVIN,Yves,Canada,Trim assassia,,0:16:40,1991,Résidence,,R,,
DUTRIAUX,Stéphane,France,Le contre-ciel,,0:17:00,1991,Résidence,,R,,
BLACKFORD,Phillip,USA,Interiors… inward turns the ivory key,,0:18:48,1991,Résidence,,R,,
PONGRACZ,Zoltan,Hongrie,Mariphonia,,0:08:07,1992,Euphonies,,E,,
BODY,Jack,Nlle Zélande,Musik Dari Jalan,,0:08:20,1992,Euphonies,,E,,
HARRISON,Jonty,Gde Bretagne,Klang,,0:09:00,1992,Euphonies,,E,,
RISSET,Jean-Claude,France,Songes,,0:09:10,1992,Euphonies,,E,,
KUSNIR,Eduardo,Argentine,La panaderia,,0:09:30,1992,Euphonies,,E,,
VOIGTLAENDER,Lothar,Allemagne,Maikafer flieg,,0:09:45,1992,Euphonies,,E,,
KATZER,Georg,Allemagne,RONDO,,0:10:00,1992,Euphonies,,E,,
VAGGIONE,Horacio,Argentine,Thema (pour saxophone basse et bande),,0:10:06,1992,Euphonies,,E,,
RODER,Klaus,Allemagne,Mr. Frankenstein's babies,,0:10:42,1992,Euphonies,,E,,
RUDNIK,Eugeniusz,Pologne,Mobile,,0:11:40,1992,Euphonies,,E,,
ALVAREZ,Javier,Mexique,Papaloth (pour piano et bande),,0:13:07,1992,Euphonies,,E,,
VINAO,Alejandro,Argentine,Go,,0:13:20,1992,Euphonies,,E,,
SMALLEY,Denis,Gde Bretagne,Darkness after time's colours,,0:13:48,1992,Euphonies,,E,,
PARMERUD,Ake,Suède,Kren,,0:17:40,1992,Euphonies,,E,,
DESCHENES,Marcelle,Canada,MOll (opéra-lilliput pour 6 roches molles),,0:23:00,1992,Euphonies,,E,,
OBST,Michael,Allemagne,Inside-(infinite chambers),,0:26:18,1992,Euphonies,,E,,
DOLDEN,Paul,Canada,Veils : studies in textural transformations,,0:28:28,1992,Euphonies,,E,,
LEVINE,Josh,USA,Tel,,0:30:47,1992,Euphonies,,E,,
WISHART,Trevor,Gde Bretagne,Red bird,,0:45:00,1992,Euphonies,,E,,
ANCAROLA SAAVEDRA,Maria Francesca,Chili,A,,0:08:32,1992,Résidence,,R,,
SCHWEIZER,Frank,Allemagne,Feuerwasser,,0:09:00,1992,Résidence,,R,,
STOLLAR,Xénia,Hongrie,Magic round,,0:09:58,1992,Résidence,,R,,
CASEY,Michael,Gde Bretagne,Glass / steel,,0:11:00,1992,Résidence,,R,,
LOVETT,Andrew,Gde Bretagne,The lyre of the west wing,,0:11:00,1992,Résidence,,R,,
LYON,Eric,USA,Paradigms I : softly through the night,,0:12:00,1992,Résidence,,R,,
ZHANG,Xiao Fu,Chine,Dialogue entre des mondes différents 1-ciel et terre 2-Homme et nature,,0:10:10,1993,Studio,,M2,,
HEDMAN,Jens,Suède,Anchorings / Arrows,,0:13:17,1993,Studio,,1,,
KARLSSON,Erik Michael,Suède,ANCHORINGS / ARROWS,,0:13:17,1993,Studio,,1,,
PARMERUD,Ake,Suède,Les objets obscurs,,0:14:23,1993,Studio,,M3,,
NORMANDEAU,Robert,Canada,Eclats de voix,,0:14:50,1993,Studio,,M1,,
FORT,Bernard,France,L'impatience des limites,,0:18:00,1993,Studio,,2,,
DE LAUBIER,Serge,France,Sonneries des orgues,,0:16:00,1993,Expérimental,,M,,
ALAGNA,Jan Pascal,France,"Poême de la lune aux abois, suivi du réveil des oiseaux II",,0:18:05,1993,Expérimental,,M,,
CEE,Werner,Allemagne,Droptrap,,0:26:00,1993,Expérimental,,2,,
CIPRIANI,Alessandro,Italie,Visibili,,0:08:30,1993,Instruments,,M,,
AMBROSINI,Claudio,Italie,Il satellite sereno,,0:12:00,1993,Instruments,,M,,
ARCURI,Serge,Canada,Errances,,00:14:00,1993,Instruments,,M1,,
XU,Shuya,Chine,Taiyi II (pour flûte et bande),,0:14:16,1993,Instruments,,2,,
LIFFEN,David,Gde Bretagne,Qsweeping statements,,0:11:00,1993,Programme,,M3,,
KARLSSON,Erik Michael,Suède,La disparition de l'azur,,0:12:12,1993,Programme,,1,,
BJELKEBORN,Thomas,Suède,Within without,,0:12:30,1993,Programme,,M2,,
NORMANDEAU,Robert,Canada,Jeu,,0:23:55,1993,Programme,,M1,,
FORT,Bernard,France,12 Haiku pour la paix céleste,,0:40:00,1993,Programme,,2,,
CHAB,Gustavo,Argentine,Mirada Rosa,,0:07:43,1993,Résidence,,R,,
HYDE,Joseph,Gde Bretagne,Insu nli gh t II : september song,,0:09:15,1993,Résidence,,R,,
MARTINEZ,Patricia E.,Argentine,El alma al cuerpo,,0:09:31,1993,Résidence,,R,,
PEDROSO BALTAZAR,Pedro Pablo,Cuba,Nexos II : escenas de vida,,0:11:50,1993,Résidence,,R,,
WANG,Miao-Wen,Chine,Nout,,0:12:40,1993,Résidence,,R,,
FIELD,Ambrose,Gde Bretagne,Géosphère,,0:15:00,1993,Résidence,,R,,
UYLENHOET,René,Pays-Bas,Wedge,,0:10:20,1994,Studio,,1,,
NUNEZ,Adolfo,Espagne,Jurel,,0:11:12,1994,Studio,,M,,
CAHEN,Roland,France,Rapsodie… Donc (le complexe du simple),,0:15:25,1994,Studio,,M,,
AVERILL,Ron,USA,Painting legs on the snake,,0:15:42,1994,Studio,,M,,
CALON,Christian,Canada,Les corps éblouis,,0:22:46,1994,Studio,,2,,
MARTUSCIELLO,Elio,Italie,Limite inferiore sinistro,,0:09:22,1994,Expérimental,,2,,
MULARD,Eric,France,La loupe d'orme,,0:14:25,1994,Expérimental,,M,,
ALLIK,Kristi,Canada,Skyharp-eulogy for an elm tree part II,,0:20:00,1994,Expérimental,,M,,
KUCHERA-MORIN,Joann,USA,Concerto for clarinet and clarinet,,0:08:34,1994,Instruments,,M,,
PALMER,John,Gde Bretagne,Beyond the bridge,,0:13:00,1994,Instruments,,2,,
MONTAGUE,Stephen,USA,String quartet n°1 in memoriam Barry Anderson & Tomasz Sikorski,,0:22:00,1994,Instruments,,1,,
POLONIO,Eduardo,Espagne,Chc,,0:20:09,1994,Magistère,,MA,,
CETTA,Pablo,Argentine,… que me hiciste mal…,,0:08:00,1994,Programme,,1,,
RAPP,Eduardo,Argentine,Biosfera uno,,0:08:45,1994,Programme,,M,,
BROBERG,Jonas,Suède,Locations,,0:08:53,1994,Programme,,M,,
BERENGUER,José Manuel,Espagne,Ob-iectum,,0:09:00,1994,Programme,,M,,
HYDE,Joseph,Gde Bretagne,Songlines,,0:14:20,1994,Programme,,2,,
HEDAS,Kim,Suède,"Good Morning, love - it's springtime in my heart !",,0:06:06,1994,Résidence,,R,,
MINSBURG,Raul,Argentine,El otro espejo,,0:08:00,1994,Résidence,,R,,
PAMPIN,Juan Carlos,Argentine,Apocalypse was postponed due to lack of interest,,0:08:00,1994,Résidence,,R,,
HOFFMAN,Elizabeth,USA,Tesserae,,0:08:47,1994,Résidence,,R,,
ADKINS,Mathew,Gde Bretagne,Melt,,00:11:50,1994,Résidence,,R,,
GLINIAK,Bartlomiej,Pologne,Neumo progremodum,,0:18:30,1994,Résidence,,R,,
WINGATE,Mark,USA,"Klang, kar und melodie",,0:07:30,1996,Caractère,,P,,
MICHON,Alain,France,Lutte au delà,,0:14:05,1996,Caractère,,P,,
DI SCIPIO,Agostino,Italie,5 Piccoli ritmi,,0:06:30,1996,Expérimental,,F,,
WILLIS,Garnet,Canada,Clusterflux,,0:09:40,1996,Expérimental,,P,,
MUTSCHLER,Florian,France,Ein aleatorischer spaziergang durch die stadt,,0:18:40,1996,Expérimental,,F,,
BODY,Jack,Nlle Zélande,Barbe à papa (pour quatuor à cordes),,0:08:40,1996,Instruments,,F,,
CECCARELLI,Luigi,Italie,Birds (for bass clarinet and tape with bass clarinet sounds and.…),,0:09:30,1996,Instruments,,P,,
BOSCHETTO,Francesco,Italie,Trasumanar (pour violon),,0:11:17,1996,Instruments,,GP,,
NELSON,Jon Christopher,USA,The wash their ambassadors in citrus and fennel ( pour voix et bande),,0:12:40,1996,Instruments,,P,,
TORRE,Joseba,Espagne,Tiempo de luces (pour flûte et bande),,0:13:30,1996,Instruments,,F,,
SCHWEIZER,Frank,Allemagne,"Diamant (pour flûte à bec, machine à flûte à bec, ordinateur et danse)",,0:23:05,1996,Instruments,,F,,
BODIN,Lars Gunnar,Suède,Best wishes from the lilac grove,,0:00:00,1996,Magistère,,MA,,
AUSTIN,Larry,USA,Blues Ax (pour saxophone et bande),,0:18:30,1996,Magistère,,MA,,
ROCHA ITURBIDE,Manuel,Mexique,Maoin mor,,0:09:50,1996,Programme,,F,,
KARLSSON,Erik Michael,Suède,Epitaphe pour Iqb al Masih,,0:10:20,1996,Programme,,F,,
BOSCHETTO,Francesco,Italie,Your heart is a red train,,0:12:25,1996,Programme,,F,,
VERANDI,Mario,Argentine,Figuras flamencas,,0:12:30,1996,Programme,,P,,
HARRISON,Jonty,Gde Bretagne,Sorties,,0:15:12,1996,Programme,,P,,
ZIMBALDO,Daniel,Espagne,Cartas desde el real hospital de lunaticos,,0:21:00,1996,Programme,,P,,
VASSILIEV,Artem,Russie,The ways,,0:07:52,1996,Résidence,,R,,
POLONUER,Fernando David,Argentine,Del ser o la nada y esa desesperada busqueda,,"0,015301",1996,Résidence,,R,,
PRAGER,Jonathan,France,Eau de Lune,,0:10:20,1996,Résidence,,R,,
PRIOR,David John,Gde Bretagne,Dense,,0:10:38,1996,Résidence,,R,,
COUPRIE,Pierre,France,Trois fragments bleus,,0:10:40,1996,Résidence,,R,,
DAHLSTEDT,Palle,Suède,Gummi,,0:11:30,1996,Résidence,,R,,
RUOHOMAKI,Jukka,Finlande,Scratches,,0:10:27,1996,Studio,,P,,
SHIMAZU,Takehito,Japon,Illusions Ii in desolate fields for upic,,0:10:45,1996,Studio,,F,,
KARPEN,Richard,USA,Life study #4,,0:12:00,1996,Studio,,F,,
VOIGTLAENDER,Lothar,Allemagne,Atemlos,,0:12:45,1996,Studio,,GP,,
TUTSCHKU,Hans,Allemagne,Sieben stufen,,0:13:00,1996,Studio,,F,,
KARLSSON,Erik Michael,Suède,Interiors and interplays,,0:14:55,1996,Studio,,P,,
ZIELINSKA,Lidia,Pologne,Jako te biale Myszki,,0:08:10,1997,Caractère,,F,,
MARTUSCIELLO,Elio,Italie,Proiezioni,,0:12:35,1997,Caractère,,P,,
STARKE,Ipke,Allemagne,Die unsichtbare front,,0:16:00,1997,Caractère,,F,,
CARDI,Mauro,Italie,Manao tupapau,,0:08:48,1997,Instruments,,F,,
ROCHA ITURBIDE,Manuel,Mexique,Transiciones,,0:11:30,1997,Instruments,,F,,
TORRE,Joseba,Espagne,Mas libre y mas cautivo,,00:14:00,1997,Instruments,,P,,
WHITE,Frances,USA,Winter aconites,,0:15:00,1997,Instruments,,P,,
KUSNIR,Eduardo,Argentine,Juegos 1,,0:10:55,1997,Magistère,,MA,,
LO,Yee On,USA,Portrait of timbre as a wild wooddove,,0:10:00,1997,Programme,,P,,
MARTUSCIELLO,Elio,Italie,"Movimento, quietudine",,0:11:14,1997,Programme,,F,,
DOYLE,Roger,Irlande,Spirit levels,,0:13:40,1997,Programme,,P,,
ANDERSON,Joseph,USA,Change's Music,,0:26:00,1997,Programme,,GP,,
DODD,Rose,Gde Bretagne,Transient I,,0:07:10,1997,Résidence,,R,,
LAZAROV,Valentin,Bulgarie,Boou'97,,0:07:15,1997,Résidence,,R,,
LEFRANC,Till,France,Vie,,0:07:40,1997,Résidence,,R,,
BATCHELOR,Peter,Gde Bretagne,Discourse,,0:12:00,1997,Résidence,,R,,
SANIELEVICI,Alexandre,Canada,Marée arctique,,00:14:00,1997,Résidence,,R,,
MACKAY,Robert,Gde Bretagne,Sea pictures,,0:15:00,1997,Résidence,,R,,
LANE,Cathy,Gde Bretagne,Invisible crowds,,0:10:02,1997,Studio,,F,,
LEWIS,Andrew,Gde Bretagne,Ascent,,0:11:43,1997,Studio,,P,,
ADKINS,Mathew,Gde Bretagne,Pagan Circus,,0:14:25,1997,Studio,,P,,
MARTUSCIELLO,Elio,Italie,Cattura magica,,0:16:00,1997,Studio,,F,,
BRUMMER,Ludger,Allemagne,Phrenos,,0:18:45,1997,Studio,,GP,,
VERANDI,Mario,Argentine,Faces and intensities,,0:11:30,1998,Caractère,,F,,
LE PRADO,Cécile,France,Ligne d'eau,,0:18:23,1998,Caractère,,F,,
CASALE,Emanuele,Italie,Studio (pour cor et bande),,0:04:00,1998,Instruments,,P,,
BIFFARELLA,Gonzalo,Argentine,Escalas y arpegios n°1 (pour piano et bane),,0:07:50,1998,Instruments,,F,,
DI LISCIA,Oscar Pablo,Argentine,"Tiemps Magneticos (pour flûte, piano et bande)",,0:08:45,1998,Instruments,,F,,
CIFARIELLO CIARDI,Fabio,Italie,"Games (pour contrebasse, live électronqiue et bande)",,0:13:00,1998,Instruments,,P,,
RACOT,Gilles,France,Vifs instants (pour petit ensembe instrumental et bande),,0:16:00,1998,Instruments,,P,,
RISSET,Jean-Claude,France,Invisible,,0:19:30,1998,Magistère,,MA,,
KOTONSKI,Wlodzimierz,Pologne,Tierra caliente,,,1998,Magistère,,MA,,
PRIOR,David John,Gde Bretagne,An die mateire,,0:07:30,1998,Programme,,F,,
BROBERG,Jonas,Suède,Conversation in cadaques,,0:08:56,1998,Programme,,P,,
MANGS,Love,Suède,"We, we the waves - an acoustic poem",,0:19:47,1998,Programme,,P,,
ONTERO,Teemu,Finlande,Arhynalia Alpha,,0:04:10,1998,Résidence,,R,,
POUNDS,Michael,USA,Critical mass,,0:06:35,1998,Résidence,,R,,
VASSILIEV,Artem,Russie,Gestures (pour clarinette et instruments électroniques),,0:08:28,1998,Résidence,,R,,
PROKOFIEV,Gabriel,Gde Bretagne,Zhiva,,0:09:48,1998,Résidence,,R,,
EKEBERG,Frank,Norvège,(Dis)integration,,0:09:49,1998,Résidence,,R,,
KAFEJIAN,Sergio,Brésil,Entrevales,,0:09:55,1998,Résidence,,R,,
MANRIQUE,José,Espagne,voz oculta,,0:07:00,1998,Studio,,P,,
ASCIONE,Patrick,France,Et puis l'oubli,,0:10:10,1998,Studio,,F,,
TORO PEREZ,German,Colombie,Estudios de ruidos y campanas,,0:11:30,1998,Studio,,F,,
BARRETT,Natasha,Gde Bretagne,Little animals,,0:12:50,1998,Studio,,P,,
TUTSCHKU,Hans,Allemagne,Extremites lointaines,,0:16:24,1998,Studio,,F,,
KOONCE,Paul,USA,Walkabout,,0:16:30,1998,Studio,,P,,
GIBSON,John,USA,Thru,,0:09:00,1999,Concert,non thématique,N,,
GRATZER,Carlos,Argentine,Ausbruch,,0:12:40,1999,Concert,non thématique,N,,
KAHN,Frédéric,France,"Les fleurs, ces bouquets d'agonies",,0:14:00,1999,Concert,non thématique,P,,
GOBEIL,Gilles,Canada,Derrière la porte la plus éloignée…,,0:12:00,1999,Concert,thématique,N,,
ADKINS,Mathew,Gde Bretagne,Mapping,,0:14:25,1999,Concert,thématique,N,,
CORCORAN,Frank,Irlande,Sweeney's Vision,,0:20:38,1999,Concert,thématique,P,,
DHERMY,Jean-Louis,France,Pnoê (pour saxophone et bande),,0:08:12,1999,Instruments,dispositif - impro.,N,,
BESTOR,Charles,USA,"Conversations with Myself (pour instrumentiste et électroniques en
temps réel)",,0:20:30,1999,Instruments,dispositif - impro.,N,,
DE MAN,Roderik,Pays-Bas,"Air to Air (pour flûte, trompette et cor basse)",,0:08:15,1999,Instruments,studio et partit°,N,,
KESTELLIKIAN,Cyril,France,Connivence (pour clarinette et bande),,0:10:00,1999,Instruments,studio et partit°,N,,
CHIN,Unsuk,Corée,Xi (pour ensemble et électronique),,0:23:00,1999,Instruments,studio et partit°,P,,
OLOFSSON,Kent,Suède,Il Liuto d'Orfeo (pour guitare et bande),,0:25:00,1999,Instruments,studio et partit°,P,,
SIKORA,Elzbieta,France,Aquamarina,,0:09:52,1999,Magistère,,MA,,
HINKLE-TURNER,Elizabeth,USA,Full Circle,,0:45:00,1999,Multimédia,cdrom ou internet,N,,
TORRES,Gérard,France,Le train fantôme,,0:12:00,1999,Multimédia,musique et vidéo,N,,
ARCHER,Phil,Gde Bretagne,Kung Fu,,0:03:40,1999,Résidence,,R,,
BANASZAK,J. Christophe,France,Angustia,,0:04:20,1999,Résidence,,R,,
STEWART,Ian,Canada,Petroglyph,,0:07:45,1999,Résidence,,R,,
THOMPSON,Michael,USA,Machine Werks,,0:08:00,1999,Résidence,,R,,
IMAI,Shintaro,Japon,Resonant waves (pour clarinette et ordinateur),,0:10:00,1999,Résidence,,R,,
